tokenId,token,blockScore,entity_type,price,timestamps,expires_at,listing_date,expire_date,openSeaLink
1962,Block #1962,314,rail-x-rail,1.45,1643948751,1644016821,2022-02-04 04:25:51,2022-02-04 23:20:21,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1962
193,Block #193,307,rail-x-rail,1.55,1643938434,1644488627,2022-02-04 01:33:54,2022-02-10 10:23:47,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/193
8039,Block #8039,255,rail-x-rail,1.55,1643970854,1644050779,2022-02-04 10:34:14,2022-02-05 08:46:19,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8039
679,Block #679,281,rail-x-rail,1.69,1643915313,1644448002,2022-02-03 19:08:33,2022-02-09 23:06:42,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/679
3273,Block #3273,280,rail-x-rail,1.69,1643916035,1646272452,2022-02-03 19:20:35,2022-03-03 01:54:12,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/3273
2555,Block #2555,309,rail-x-rail,1.7,1643964519,1643985696,2022-02-04 08:48:39,2022-02-04 14:41:36,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2555
8508,Block #8508,322,rail-x-rail,1.88,1643934315,1644020804,2022-02-04 00:25:15,2022-02-05 00:26:44,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8508
6588,Block #6588,292,rail-x-rail,1.92,1643119412,1645797906,2022-01-25 14:03:32,2022-02-25 14:05:06,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6588
614,Block #614,279,rail-x-rail,1.95,1643932309,1644040439,2022-02-03 23:51:49,2022-02-05 05:53:59,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/614
9129,Block #9129,316,rail-x-rail,2.05,1643946610,1644003553,2022-02-04 03:50:10,2022-02-04 19:39:13,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9129
6304,Block #6304,305,rail-x-rail,2.1,1643946318,1644551217,2022-02-04 03:45:18,2022-02-11 03:46:57,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6304
764,Block #764,338,rail-x-rail,2.15,1643910193,1646087559,2022-02-03 17:43:13,2022-02-28 22:32:39,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/764
6264,Block #6264,305,rail-x-rail,2.15,1643935149,1643981336,2022-02-04 00:39:09,2022-02-04 13:28:56,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6264
2039,Block #2039,288,rail-x-rail,2.6,1643777332,1646188801,2022-02-02 04:48:52,2022-03-02 02:40:01,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2039
2252,Block #2252,307,rail-x-rail,2.85,1642836603,1645482473,2022-01-22 07:30:03,2022-02-21 22:27:53,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2252
7437,Block #7437,325,river-x-river,3.0,1643974169,1644233437,2022-02-04 11:29:29,2022-02-07 11:30:37,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7437
8481,Block #8481,321,rail-x-rail,3.21,1643069145,1645747634,2022-01-25 00:05:45,2022-02-25 00:07:14,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8481
7637,Block #7637,302,rail-x-rail,3.4,1643068709,1645747149,2022-01-24 23:58:29,2022-02-24 23:59:09,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7637
5153,Block #5153,340,rail-x-rail,3.8,1643800643,1644146275,2022-02-02 11:17:23,2022-02-06 11:17:55,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/5153
8975,Block #8975,345,rail-x-rail,3.99,1643931114,1644536013,2022-02-03 23:31:54,2022-02-10 23:33:33,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8975
5540,Block #5540,298,rail-x-rail,4.9,1643968190,1644171381,2022-02-04 09:49:50,2022-02-06 18:16:21,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/5540
9981,Block #9981,279,rail-x-rail,10.0,1642856387,1645534852,2022-01-22 12:59:47,2022-02-22 13:00:52,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9981
